id_1,id_2,Weight
0,23977,15
1,34526,2
1,2370,15
1,14683,13
1,29982,2
1,21142,22
1,20363,20
1,23830,25
1,34035,19
6067,19720,10
6067,20183,7
3,4950,5
3,18029,16
3,3358,15
3,34935,7
3,5916,4
4,2865,21
4,9342,14
5,27803,21
6,27803,21
6,18612,18
6,18876,21
6,31890,25
6,17647,25
6,18562,23
7,37493,21
7,33643,10
7,30199,4
7,35773,11
7,11273,12
7,12775,5
7,21864,16
7,9051,19
34957,21395,3
34957,9891,5
34957,9340,4
34957,31260,24
34957,14820,19
34957,31890,18
34957,26666,24
34957,22516,23
8,19253,4
8,27803,14
8,11083,25
8,23973,14
8,36652,22
8,10080,15
8,14003,1
8,4793,3
9,15477,3
9,23914,6
9,27803,18
9,33129,1
9,27768,1
9,19407,9
9,30596,2
10,35842,17
10,23589,12
10,37280,7
10,2078,10
10,23670,25
10,32836,5
10,34238,10
10,19345,1
10,19973,22
10,29557,6
10,33138,5
10,35762,2
10,4708,19
10,31890,3
10,15495,21
10,10487,21
10,12102,17
10,27313,19
10,30199,4
10,27450,12
10,19222,4
10,7843,18
10,19256,7
10,14478,2
10,26143,1
10,12894,11
10,11514,16
10,16321,15
10,35633,21
10,22564,1
10,22666,14
10,22674,18
10,5567,4
10,29876,19
10,33500,5
10,14720,19
10,32322,16
10,37577,10
10,36578,10
10,3797,11
10,4530,24
10,27340,15
10,26639,25
10,915,9
10,1407,19
10,10456,8
10,17332,6
10,13638,16
10,18850,15
10,1923,14
10,11271,5
10,31938,14
10,27314,11
10,16641,22
10,30002,12
10,7027,25
10,10535,12
10,29465,7
10,35008,8
10,23972,1
10,27803,3
10,16995,15
10,21934,9
10,6229,21
10,29964,8
10,4469,11
11,27803,7
11,31890,3
12,20854,25
12,4398,14
12,9598,21
12,25134,21
12,13228,1
12,11051,25
13,27803,6
13,9051,13
13,5629,10
14,20880,1
14,34989,25
14,15143,22
14,36404,20
14,35773,10
14,33988,14
14,30809,6
14,20363,12
14,18638,18
14,18910,21
14,31126,9
14,7825,15
14,28922,17
14,34629,19
14,13396,23
14,23838,2
14,8635,2
14,4174,15
15,10219,14
15,17787,6
15,3368,12
15,19253,23
15,12921,10
15,30002,12
15,5310,13
15,9049,16
15,30833,15
15,23204,11
15,10080,10
15,27803,13
15,1501,23
15,36652,9
15,33671,14
15,18163,21
15,31890,15
15,29892,7
17,36099,25
17,18876,3
17,32821,16
18,27803,20
18,27696,25
18,23458,18
20,33863,17
20,27745,17
20,29082,2
20,3922,12
21,12261,12
21,23332,19
21,34114,19
21,21547,12
21,9553,4
21,22321,21
21,15191,12
21,14242,5
21,23783,25
21,37057,17
21,2282,20
21,2992,19
21,36632,17
21,19470,15
21,31890,1
21,5300,19
21,20919,1
21,33029,11
21,10352,8
21,12986,17
21,29615,9
21,21847,4
21,20961,22
21,12396,15
21,3747,3
21,8172,24
21,6790,6
21,27877,1
21,5081,22
21,8360,15
21,1315,16
21,33684,20
21,27803,1
22,32575,14
22,13685,4
22,291,8
22,3072,12
22,19222,16
22,35241,1
22,7027,13
23,21298,18
23,34114,1
23,22584,8
23,21498,22
23,9173,25
23,19358,5
23,9388,3
23,14635,10
23,6221,13
23,35359,25
23,30235,11
23,31890,2
24,33029,5
24,28761,9
24,327,7
24,36652,12
24,22059,13
24,13638,4
24,7976,6
24,26877,21
24,12523,18
24,3712,12
24,32060,21
24,35558,25
24,10840,12
24,23267,20
24,9722,10
24,14805,3
24,2431,18
24,27954,24
6071,5061,5
6071,31890,25
6071,31987,14
6071,11051,25
6071,1739,3
26,32718,24
26,17091,8
26,15554,7
26,3153,7
26,31890,17
26,29055,8
26,34606,16
27,14755,20
27,28477,4
27,24094,15
27,12798,15
27,9947,17
27,35523,13
27,19629,15
27,1659,8
27,37475,17
27,28014,7
27,11225,17
27,32771,17
27,30417,20
27,32452,16
27,34900,21
27,2035,8
27,18588,1
27,885,6
27,25948,6
27,30502,6
27,14177,1
27,18595,21
27,3491,19
27,14947,16
27,17644,18
27,7415,22
27,25129,13
27,31525,19
27,14185,3
27,22836,12
27,25748,1
27,35065,17
27,8360,8
27,33424,12
27,17949,25
27,23906,19
27,7847,23
27,831,15
27,3582,1
27,14341,24
27,7495,9
27,25819,7
27,25756,14
27,9339,22
27,32507,19
27,17221,9
27,12838,18
27,7075,17
27,714,17
27,1767,1
27,33833,5
27,479,25
27,13090,10
27,35668,9
27,24810,2
27,10001,9
27,10219,13
27,26298,19
27,11889,14
27,34059,18
27,27874,25
27,23051,6
27,26124,16
27,20024,17
27,29347,9
27,27031,20
27,31500,25
27,16621,20
27,1268,21
27,11720,24
28,13003,16
29,31890,5
29,36652,9
30,6631,16
30,20854,11
30,23664,12
30,11051,14
30,19222,8
30,9051,15
31,10808,10
31,23880,6
31,12505,13
31,15908,4
31,17736,14
31,31890,17
31,2059,5
32,4293,7
32,22351,16
33,10510,22
33,5398,3
34,27474,8
34,3635,24
34,27804,2
34,18741,12
24655,25120,24
24655,6452,22
24655,18377,13
24655,15977,25
24655,20084,24
24655,22253,24
24655,15940,7
24655,22464,14
24655,22615,1
24655,36628,1
24655,8626,4
24655,24419,14
24655,18244,22
24655,3903,17
24655,27022,15
24655,15919,25
24655,1174,22
24655,30814,10
24655,37428,17
24655,29886,5
24655,22881,25
24655,34440,23
24655,21973,14
24655,8292,8
24655,13493,19
24655,29889,10
24655,2417,23
24655,4528,6
24655,5412,18
24655,1483,5
24655,26585,24
24655,18701,25
24655,25477,14
24655,36747,6
24655,15806,17
24655,27268,8
24655,4193,22
24655,418,13
24655,13581,17
24655,25967,20
24655,36648,24
24655,1070,17
24655,19222,17
24655,4011,1
